"Offense","Count"
"SODOMY",1188
"STATUTORY RAPE-2ND DEGRE",932
"RAPE",888
"SEXUAL ASSAULT",739
"CHILD MOLEST-1ST DEGREE",733
"STATUTORY SODOMY-2ND DEG",726
"SEXUAL MISCONDUCT-1ST",524
"SEXUAL ABUSE 1ST DEGREE",523
"STATUTORY SODOMY-1ST DEG",491
"SEXUAL ABUSE",480
"DEVIATE SEXUAL ASSAULT",400
"STATUTORY RAPE-1ST DEGRE",374
"CHILD MOLEST-2ND DEGREE",365
"POSSESSION OF CHILD PORNOGRAPHY",212
"SEX MISCON-CHILD-1ST OFF",154
"STAT SODOMY-1ST DEG-PERS UND 14",151
"INCEST",150
"SEXUAL MISCONDUCT-2ND",141
"STAT RAPE-1ST DEG-PERS UNDER 14",136
"CHILD MOLESTATION-1ST",134
"ENDANGERING WELFARE OF A CHILD-1ST DEGREE",133
"SEX MISCD/ATMP INVL CHLD-1ST OFNS",112
"SEXUAL BATTERY",100
"AGGRAVATED CRIMINAL SEXUAL ABUSE",96
"ATTEMPTED RAPE",95
"SEXUAL ABUSE 2ND DEGREE",87
"CHILD MOLESTATION",84
"ENDANGER WELFARE CHILD",73
"SEX MISC-1ST-PRIOR CONV/WEAPON",60
"AGGRAVATED CRIMINAL SEXUAL ASSAULT",49
"RAPE WITH A WEAPON",47
"SEX ABUSE 3RD DEGREE",47
"STATUTORY SODOMY - FIRST DEGREE",45
"SEXUAL ASLT 2ND DEG",41
"ATTEMPTED SODOMY",39
"INDECENT LIBERTIES WITH A CHILD",38
"CRIMINAL SEXUAL ASSAULT",37
"SEXUAL MISCONDUCT-3RD",37
"AGGRAVATED SEXUAL ASSAULT",36
"ABUSE OF CHILD",35
"CRIMINAL SEXUAL ABUSE",34
"INDECENT EXPOSURE",33
"ATTEMPTED CHILD MOLEST-1ST DEGREE",32
"ATTEMPTED SEXUAL ASSAULT",29
"SODOMY - PHYS INJ/WEAPON",29
"STATUTORY RAPE",28
"AGGRAVATED SEXUAL BATTERY",26
"CHLD MOLST-2ND DEG-INJRY",26
"FURN PORNO/ATMPT TO MINOR",26
"SEXUAL ASSAULT 2ND DEGREE",26
"CHILD MOLEST-1ST-WEAPON",25
"SEXUAL ABUSE 3RD DEGREE",25
"SEXUAL ASSAULT 1ST DEGREE",25
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD",23
"SEX MISCONDUCT-2ND-P/O",23
"SEXUAL ASSAULT OF A CHILD",23
NA,23
"ENTICE CHILD <15-ACTOR 21/OVER",22
"CRIMINAL SEXUAL CONDUCT 2ND DEGREE",21
"RAPE 2ND DEGREE",21
"SEX CONT W/INMATE-EMP OF COR FAC",21
"USE CHILD-SEXUAL PERFORM",21
"ATTEMPTED STATUTORY RAPE-2ND DEGRE",20
"SEXUAL MISCONDUCT",20
"AGGRAVATED INCEST",19
"AGGRAVATED SEXUAL ASSAULT OF A CHILD",19
"ATTEMPTED STATUTORY SODOMY-2ND DEG",19
"DEV SEX ASSLT 2ND DEGREE",19
"CHILD PORNOGRAPHY",18
"PROM CHILD PORNO 1ST DEG",18
"SEXUAL ASSAULT ON A CHILD",18
"ATMPT-ENTICE CHILD<15-ACTR 21/OVR",17
"LEWD AND LASCIVIOUS ACTS",17
"SEX ABUSE-WEP/INJ->1PER/VIC<14",17
"SEX ABUSE 1ST - PHY HARM",17
"STAT RAPE-1ST-WEAP/MULTI-UND 12",17
"ATTEMPTED STATUTORY RAPE-1ST DEGRE",16
"CHILD MOLES-1ST DEG-INJRY",16
"INDECENT LIBERTIES WITH CHILD",16
"INDECENT SOLICITATION OF A CHILD",16
"RAPE 3RD DEGREE",16
"ATTEMPTED DEVIATE SEXUAL ASSAULT",15
"ATTEMPTED STATUTORY SODOMY-1ST DEG",15
"CRIMINAL SEXUAL CONDUCT 3RD DEGREE",15
"FORCIBLE RAPE",15
"LASCIVIOUS ACTS WITH A CHILD",15
"SEX MISCON-CHILD-2ND OFF",15
"INDECENCY WITH A CHILD",14
"INDECENT LIBERTIES",14
"POSS CHILD PORN MATERIAL",14
"RAPE 1ST DEGREE",14
"CHLD MOLES-1ST DEG-INJRY",13
"CRIMINAL SEXUAL CONDUCT",13
"CRIMINAL SEXUAL CONDUCT 4TH DEGREE",13
"ENDNG WELFARE OF CHILD-2ND DEGREE",13
"KIDNAPPING",13
"SEXUAL EXPLOITATION OF A CHILD",13
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES WITH A CHILD",12
"LEWD MOLESTATION",12
"LEWD OR LASCIVIOUS ACTS WITH A CHILD UNDER 14",12
"SEXUAL ASSAULT 3RD DEGREE",12
"AGGRAVATED SEXUAL ABUSE",11
"ATTEMPTED RAPE WITH A WEAPON",11
"CARNAL KNOWLEDGE",11
"FELONIOUS RESTRAINT",11
"GROSS SEXUAL IMPOSITION",11
"INDECENT LIBERTIES WITH MINOR",11
"POSS CHILD PORN-2ND OR VID/PIC",11
"SEXUAL ASSAULT ON CHILD",11
"AGGRAVATED INDECENT SOLICITATION OF A CHILD",10
"ATTEMPTED SEXUAL ABUSE",10
"ATTEMPTED STAT SODOMY-1ST DEG-PERS UND 14",10
"CHILD/SEX PERFORMANCE",10
"DV SEX ASLT 1ST DDW/INJ",10
"FORC SODOMY-W WPN OR INJ",10
"FORCIBLE SODOMY",10
"FORCIBLE SODOMY-DEV SEXUAL INT",10
"INDECENT ASSAULT",10
"LEWD AND LASCIVIOUS BEHAVIOR",10
"RAPE BY FORCE",10
"ATTEMPTED AGGRAVATED SEXUAL BATTERY",9
"ATTEMPTED SEXUAL BATTERY",9
"FORCIBLE RAPE - FORCIBLE COMPULSION",9
"LEWD OR LASCIVIOUS ACTS WITH CHILD UNDER 14",9
"SEXUAL ABUSE OF A CHILD",9
"SEXUAL ASSAULT 4TH DEGREE",9
"SEXUAL EXPLOITATION OF A MINOR",9
"AGGRAVATED CRIMINAL SODOMY",8
"ASSAULT WITH INTENT TO COMMIT RAPE",8
"ASSAULT WITH INTENT TO COMMIT SEXUAL ABUSE",8
"INDECENCY WITH CHILD",8
"INDECENT CONTACT WITH A CHILD",8
"INDECENT LIBERTIES WITH A MINOR",8
"LEWD AND LASCIVIOUS ACTS WITH A CHILD",8
"ORAL COPULATION",8
"AGGRAVATED INDECENT LIBERTIES W/CHILD",7
"ASSAULT TO COMMIT RAPE",7
"ATTEMPTED CHILD MOLESTATION",7
"CRIMINAL SEXUAL CONDUCT 1ST DEGREE",7
"LEWD & LASCIVIOUS ACTS WITH A CHILD",7
"PROM CHILD PORNO-2ND DEG",7
"SEX ABUS 2ND PHYS HARM",7
"SEXUAL CONDUCT WITH A MINOR",7
"ATTEMPTED ATTEMPT FORCIBLE RAPE",6
"ATTEMPTED ENTICE CHILD <15-ACTOR 21/OVER",6
"ATTEMPTED SEX MISCD/ATMP INVL CHLD-1ST OFNS",6
"ATTEMPTED STAT RAPE-1ST DEG-PERS UNDER 14",6
"INDECENCY WITH A CHILD-SEXUAL CONTACT",6
"LEWD & LASCIVIOUS ACTS",6
"LEWD OR LASCIVIOUS ACTS WITH A CHILD",6
"PROMOTING OBSCENITY-1ST DEGREE",6
"SEXUAL EXPLOITATION-CHILD",6
"AGGRAVATED INDECENT LIBERTIES WITH CHILD",5
"AGGRAVATED INDECENT SOLICITATION OF CHILD",5
"AGGRAVATED RAPE",5
"AGGRAVATED SEXUAL ASSAULT CHILD",5
"AGGRAVATED SODOMY",5
"ANNOY/MOLEST CHILDREN",5
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES",5
"ATTEMPTED INDECENT LIBERTIES WITH A CHILD",5
"ATTEMPTED SEXUAL ABUSE 1ST DEGREE",5
"CARNAL ABUSE 1ST DEGREE",5
"CHILD MOLEST-2ND-WEAPON",5
"CHILD MOLESTATION 1ST DEGREE",5
"INDECENT LIBERTIES W/CHILD",5
"LEWD/LASCIVIOUS ACTS WITH A CHILD",5
"PREDATORY CRIMINAL SEXUAL ASSAULT",5
"PROM SEX PERFORM BY CHID",5
"SEX ASSLT 1ST DDW/INJURY",5
"SEX MISCD/ATMP INVL CHLD 2ND/SUB",5
"SEXUAL ASSAULT CHILD",5
"SEXUAL CONDUCT WITH MINOR",5
"SEXUAL MISCONDUCT WITH A MINOR",5
"SEXUAL MOLESTATION",5
"SODOMY 1ST DEGREE",5
"SODOMY 3RD DEGREE",5
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES W/CHILD",4
"ATTEMPTED FORCIBLE RAPE",4
"ATTEMPTED PROM SEX PERFORM BY CHID",4
"ATTEMPTED SEXUAL ASSAULT 2ND DEGREE",4
"CARNAL ABUSE 3RD DEGREE",4
"CRIMINAL SEXUAL CONDUCT 2ND",4
"CRIMINAL SEXUAL CONDUCT 4TH DEGREE (FORCE OR COERCION)",4
"DV SEX ASSLT 2ND DDW/INJ",4
"ENTICE CHILD-ACTOR 21-CHLD<15",4
"FORC RAPE-INJ/WEP->1PRSN/VIC<12",4
"LEWD AND LASCIVIOUS ACTS WITH CHILD",4
"LEWD AND LASCIVIOUS CONDUCT",4
"LEWD OR INDECENT PROPOSALS/ACTS TO A CHILD",4
"POSSESSION CHILD PORNOGRAPHY",4
"PROMOT PROST - 3RD DEG",4
"RAPE OF A CHILD",4
"SEX WITH A MINOR",4
"SEXUAL ABUSE OF A MINOR",4
"SEXUAL ASSAULT 1ST",4
"SEXUAL ASSAULT 2ND",4
"SEXUAL EXPLOITATION OF CHILD",4
"SEXUAL INTERCOURSE",4
"STATUTORY RAPE 2ND DEGREE",4
"UNLAWFUL SEXUAL CONDUCT WITH A MINOR",4
"UNLAWFUL SEXUAL INTERCOURSE WITH MINOR",4
"1ST DEGREE SEXUAL ASSAULT",3
"AGE MISREP W/INTENT SOLCT MINOR",3
"AGG INDECENT LIBERTIES WITH A CHILD",3
"AGGRAVATED CRIMINAL SEX ABUSE",3
"AGGRAVATED INDECENT SOLICITATION",3
"AGGRAVATED SEXUAL ASSAULT OF CHILD",3
"AGGRAVATED SEXUAL ASSAULT ON A CHILD",3
"AGGREVATED CRIMINAL SEXUAL ASSAULT",3
"ASSAULT WITH INTENT TO COMMIT SEX ABUSE",3
"ATMP ENTICE-ACTOR > 21/CHILD < 15",3
"ATTEMPT FORCIBLE RAPE",3
"ATTEMPT RAPE",3
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES WITH CHILD",3
"ATTEMPTED AGGRAVATED SOLICITATION OF A CHILD",3
"ATTEMPTED CHILD MOLESTATION-1ST",3
"ATTEMPTED CRIMINAL SODOMY",3
"ATTEMPTED FORCIBLE RAPE - FORCIBLE COMPULSION",3
"ATTEMPTED SODOMY - PHYS INJ/WEAPON",3
"CHILD MOLESTATION 2ND DEGREE",3
"CONSPIRACY RAPE",3
"CONSPIRACY SEXUAL ASSAULT",3
"CONTINUOUS SEXUAL ABUSE OF A CHILD",3
"CORRUPTION OF A MINOR",3
"DISTRIBUTION OF CHILD PORNOGRAPHY",3
"ELECTRONIC SOLICITATION OF A CHILD",3
"ENDNGR WLFR CHILD-1ST-SEX CNDT",3
"ENTICEMENT OF A CHILD",3
"GROSS SEXUAL ASSAULT",3
"INDECENCY WITH A CHILD SEXUAL CONTACT",3
"INDECENT ACTS",3
"INDECENT SOLICITATION",3
"INDECENT SOLICITATION OF CHILD",3
"INDECENY WITH A CHILD",3
"LASCIVIOUS ACTS",3
"LASCIVIOUS ACTS WITH CHILD",3
"LEWD & LASCIVIOUS ACTS WITH CHILD UNDER 14",3
"LEWD ACT WITH A MINOR",3
"LEWD AND LASCIVIOUS ACTS WITH A CHILD UNDER 14",3
"LEWD AND LASCIVIOUS ACTS WITH CHILD UNDER 14",3
"LEWD OR INDECENT PROPOSALS/ACTS TO CHILD",3
"MOLESTATION OF A JUVENILE",3
"POSSESSION OF CHILD PORN",3
"POSSESSION OF OBSCENE MATERIAL",3
"PROM CHILD PORNO 2ND DEG",3
"PUBLIC SEXUAL INDECENCY",3
"RECEIPT OF CHILD PORNOGRAPHY",3
"RECEIVING CHILD PORNOGRAPHY",3
"SEX ABUSE 3RD - DD WEAPON",3
"SEX OFFENSE 3RD DEGREE",3
"SEXUAL ABUSE 2ND",3
"SEXUAL ASSAULT 3RD",3
"SEXUAL ASSAULT OF A CHILD 2ND DEGREE",3
"SEXUAL ASSAULT OF A MINOR",3
"SEXUAL IMPOSITION",3
"SEXUAL MISCONDUCT WITH MINOR",3
"SODOMY 2ND DEGREE",3
"UNLAWFUL SEX WITH MINOR",3
"UNLAWFUL SEXUAL CONTACT",3
"UNLAWFUL SEXUAL INTERCOURSE",3
"2ND DEGREE SEXUAL ASSAULT OF A CHILD",2
"2ND DEGREE SEXUAL ASSAULT OF CHILD",2
"3RD DEGREE SEXUAL ASSAULT",2
"AGG CRIM SEX ABUSE",2
"AGGRAVATED FELONIOUS SEXUAL ASSAULT",2
"AGGRAVATED INDECENT LIBERTIES",2
"AGGRAVATED LIBERTIES WITH A CHILD",2
"AGGRAVATED SEXUAL ASSAULT WITH CHILD",2
"ASSAULT W/INTENT TO COMMIT SEXUAL ABUSE",2
"ASSAULT W/INTENT TO COMMIT SEXUAL PENETRATION",2
"ASSAULT WITH INTENT TO RAPE",2
"ATMP STAT SOD-1ST-INJ/WEP-VIC<12",2
"ATMPT STAT SODOMY-1ST DEG-PERS<14",2
"ATT ENTICE CHILD-ACT21-CHLD<15",2
"ATTEMPT TO RECEIVE CHILD PORNOGRAPHY",2
"ATTEMPTED ABUSE OF CHILD",2
